2020-09-21 17:14:07 status half-installed e2fsprogs:amd64 1.44.1-1
2020-09-21 17:14:08 status unpacked e2fsprogs:amd64 1.44.1-1
2020-09-21 17:14:08 status unpacked e2fsprogs:amd64 1.44.1-1
2020-09-21 17:14:08 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2020-09-21 17:14:08 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:08 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:08 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-09-21 17:14:08 install findutils:amd64 <none> 4.6.0+git+20170828-2
2020-09-21 17:14:08 status half-installed findutils:amd64 4.6.0+git+20170828-2
2020-09-21 17:14:08 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-09-21 17:14:08 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-09-21 17:14:08 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2020-09-21 17:14:08 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2020-09-21 17:14:08 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-09-21 17:14:08 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-09-21 17:14:08 install grep:amd64 <none> 3.1-2
2020-09-21 17:14:08 status half-installed grep:amd64 3.1-2
2020-09-21 17:14:08 status unpacked grep:amd64 3.1-2
2020-09-21 17:14:08 status unpacked grep:amd64 3.1-2
2020-09-21 17:14:08 install gzip:amd64 <none> 1.6-5ubuntu1
2020-09-21 17:14:08 status half-installed gzip:amd64 1.6-5ubuntu1
2020-09-21 17:14:08 status unpacked gzip:amd64 1.6-5ubuntu1
2020-09-21 17:14:08 status unpacked gzip:amd64 1.6-5ubuntu1
2020-09-21 17:14:08 install hostname:amd64 <none> 3.20
2020-09-21 17:14:08 status half-installed hostname:amd64 3.20
2020-09-21 17:14:08 status unpacked hostname:amd64 3.20
2020-09-21 17:14:08 status unpacked hostname:amd64 3.20
2020-09-21 17:14:08 install init-system-helpers:all <none> 1.51
2020-09-21 17:14:08 status half-installed init-system-helpers:all 1.51
2020-09-21 17:14:08 status unpacked init-system-helpers:all 1.51
2020-09-21 17:14:08 status unpacked init-system-helpers:all 1.51
2020-09-21 17:14:08 install libacl1:amd64 <none> 2.2.52-3build1
2020-09-21 17:14:08 status half-installed libacl1:amd64 2.2.52-3build1
2020-09-21 17:14:08 status unpacked libacl1:amd64 2.2.52-3build1
2020-09-21 17:14:08 status unpacked libacl1:amd64 2.2.52-3build1
2020-09-21 17:14:08 install libattr1:amd64 <none> 1:2.4.47-2build1
2020-09-21 17:14:08 status half-installed libattr1:amd64 1:2.4.47-2build1
2020-09-21 17:14:08 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-09-21 17:14:08 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-09-21 17:14:08 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2020-09-21 17:14:08 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
